"Time","signal strenght"
"1.840040721","-54dBm"
"2.660462211","-75dBm"
"2.762100332","-81dBm"
"5.321820967","-44dBm"
"5.424236048","-44dBm"
"6.140980784","-47dBm"
"6.243493374","-81dBm"
"8.905679506","-45dBm"
"9.110616908","-44dBm"
"9.725527626","-81dBm"
"9.826859472","-49dBm"
"12.489813485","-82dBm"
"12.594090635","-51dBm"
"12.694794878","-82dBm"
"13.411400622","-81dBm"
"16.790370398","-61dBm"
"16.995324283","-80dBm"
"19.657821556","-42dBm"
"19.760141602","-43dBm"
"20.478627378","-45dBm"
"23.142343835","-46dBm"
"23.344090413","-80dBm"
"26.825676150","-54dBm"
"26.927991128","-58dBm"
"27.441468709","-52dBm"
"27.541726045","-54dBm"
"27.644856753","-56dBm"
"30.307268703","-39dBm"
"30.409612921","-38dBm"
"31.025152984","-83dBm"
"31.133119707","-42dBm"
"31.228432515","-42dBm"
"33.796847771","-42dBm"
"33.995956943","-39dBm"
"38.191248325","-81dBm"
"41.787542390","-47dBm"
"41.877834181","-46dBm"
"44.643059795","-82dBm"
"45.258073363","-82dBm"
"45.462308079","-53dBm"
"48.227102767","-52dBm"
"48.943059012","-56dBm"
"51.606145970","-54dBm"
"52.427408474","-48dBm"
"52.528106649","-82dBm"
"55.189680431","-46dBm"
"55.292296027","-45dBm"
"56.008545210","-54dBm"
"56.111749713","-53dBm"
"58.876199586","-54dBm"
"59.593593039","-49dBm"
"62.460554314","-81dBm"
"63.075040910","-50dBm"
"63.180385424","-81dBm"
