"Time","signal strenght"
"0.105937065","-44dBm"
"7.274141194","-44dBm"
"7.376395401","-44dBm"
"8.092844788","-47dBm"
"10.857963946","-44dBm"
"10.969827795","-42dBm"
"14.441926885","-47dBm"
"18.025269564","-42dBm"
"18.743885497","-92dBm"
"21.404913204","-45dBm"
"21.621936774","-43dBm"
"22.224577041","-48dBm"
"22.326828265","-48dBm"
"24.989075952","-96dBm"
"25.091385985","-46dBm"
"25.910359410","-49dBm"
"28.674812052","-54dBm"
"32.263068677","-42dBm"
"32.873604668","-45dBm"
"36.457770942","-45dBm"
"39.222882198","-42dBm"
"39.325080213","-90dBm"
"39.443587789","-43dBm"
"39.444854144","-44dBm"
"39.446127581","-44dBm"
"39.447378762","-44dBm"
"39.448587607","-43dBm"
"42.982663496","-44dBm"
"42.986564710","-44dBm"
"42.987967658","-43dBm"
"42.989577810","-45dBm"
"42.990828238","-45dBm"
"42.992076343","-44dBm"
"42.993325606","-44dBm"
"42.994534581","-44dBm"
"42.996280169","-45dBm"
"42.997562208","-43dBm"
"42.998801380","-45dBm"
"43.000279813","-55dBm"
"43.001501528","-44dBm"
"43.522753712","-47dBm"
"43.626012214","-48dBm"
"46.394251782","-55dBm"
"46.492593574","-39dBm"
"47.311850167","-108dBm"
"49.871731660","-40dBm"
"50.077515613","-42dBm"
"50.793460935","-94dBm"
"57.047833438","-46dBm"
"64.310092225","-45dBm"
