"Time","signal strenght"
"0.676331745","-75dBm"
"0.778496249","-75dBm"
"1.393122626","-45dBm"
"1.597649870","-44dBm"
"4.260027285","-75dBm"
"4.364762977","-76dBm"
"7.741356110","-48dBm"
"7.843830412","-44dBm"
"7.946078898","-75dBm"
"11.326372789","-76dBm"
"11.428509516","-44dBm"
"12.042194303","-77dBm"
"14.909466418","-46dBm"
"15.020361554","-75dBm"
"15.819755186","-50dBm"
"15.831429086","-76dBm"
"18.391083158","-78dBm"
"18.493439340","-77dBm"
"18.595667959","-45dBm"
"21.975906837","-78dBm"
"22.078170670","-44dBm"
"22.897316496","-78dBm"
"25.559113193","-46dBm"
"25.675409382","-45dBm"
"29.040980490","-44dBm"
"29.143386618","-77dBm"
"29.245634961","-45dBm"
"32.625193534","-44dBm"
"32.727462131","-77dBm"
"32.829590293","-78dBm"
"33.444354739","-49dBm"
"33.546602574","-79dBm"
"36.208472925","-48dBm"
"36.311903468","-79dBm"
"39.690448480","-45dBm"
"39.794030564","-78dBm"
"39.898190686","-44dBm"
"43.274265332","-76dBm"
"43.376449906","-76dBm"
"43.479744427","-46dBm"
"46.861386030","-41dBm"
"46.962604295","-40dBm"
"47.677808047","-53dBm"
"47.785047591","-42dBm"
"50.340356934","-44dBm"
"50.448906138","-74dBm"
"50.545153155","-43dBm"
"51.159201457","-44dBm"
"53.923846280","-81dBm"
"54.026071950","-75dBm"
"54.641185197","-48dBm"
"54.743497248","-50dBm"
"54.845837088","-50dBm"
"57.507552844","-50dBm"
"57.610847852","-45dBm"
"58.224647457","-75dBm"
"58.326770533","-76dBm"
"58.441623463","-48dBm"
"60.989060118","-76dBm"
"61.105342323","-76dBm"
"61.194682010","-44dBm"
"61.809219557","-47dBm"
"61.911544699","-47dBm"
"64.573763022","-43dBm"
"64.675906141","-42dBm"
"64.778242681","-76dBm"
"65.393369496","-75dBm"
"65.464098301","-48dBm"
"65.465322574","-48dBm"
"65.466580953","-48dBm"
"65.467875441","-48dBm"
"65.469028066","-49dBm"
"65.479411336","-49dBm"
"65.481265322","-49dBm"
"65.483804979","-49dBm"
"65.495780059","-49dBm"
"65.522393477","-49dBm"
"65.523636960","-49dBm"
"65.524856702","-49dBm"
"68.157849060","-43dBm"
"68.260074241","-76dBm"
"68.874830671","-47dBm"
"68.976967331","-47dBm"
"69.079173939","-75dBm"
"71.638868654","-42dBm"
"71.741056559","-45dBm"
"71.844317064","-45dBm"
"72.458102925","-82dBm"
"72.561148102","-48dBm"
"75.225492761","-42dBm"
"75.325715647","-76dBm"
"75.427915091","-77dBm"
"75.940318115","-76dBm"
"76.042632973","-48dBm"
"76.144883582","-49dBm"
"78.807128889","-76dBm"
"78.909335660","-76dBm"
"79.524382084","-72dBm"
"79.626559685","-76dBm"
"79.728868879","-48dBm"
"82.288619049","-40dBm"
"82.493093650","-40dBm"
"83.107825204","-61dBm"
"83.217434198","-53dBm"
"85.880940092","-75dBm"
"85.975305062","-75dBm"
"86.077402749","-76dBm"
"86.794565398","-45dBm"
"89.457199026","-40dBm"
"89.559340343","-40dBm"
"90.168009180","-41dBm"
"90.173404276","-40dBm"
"90.377901596","-41dBm"
"92.938383231","-47dBm"
"93.042117737","-47dBm"
"93.143454034","-77dBm"
"93.758573532","-49dBm"
"93.875184691","-50dBm"
"96.536626560","-44dBm"
"96.624885671","-77dBm"
"97.341714915","-54dBm"
"97.443936543","-47dBm"
